Year|MainOustandingTaxLiab|SecondaryTaxLiab|ContestedTaxLiab|TotalTaxLiab|UncontestedTaxLiab|BudgetType|ID
2018|2124600|662592|0|2787192|2787192|DateBudget|6457
2018|50031|78600|0|128631|128631|DateBudget|6458
2018|2056950|208213|0|2265163|2265163|DateBudget|6459
2018|86259|59894|0|146153|146153|DateBudget|6460
2018|17495|101398|0|118893|118893|DateBudget|6461
2018|153914|6406|0|160320|160320|DateBudget|6462
2018|18736|44416|0|63152|63152|DateBudget|6463
2018|124649|73589|0|198238|198238|DateBudget|6464
2018|20574|28454|0|49028|49028|DateBudget|6465
2018|583780|445004|0|1028784|1028784|DateBudget|6466
2018|20477|29295|0|49772|49772|DateBudget|6467
2018|53859|15327|0|69186|69186|DateBudget|6468
2018|189598|176229|0|365827|365827|DateBudget|6469
2018|34160|79141|0|113301|113301|DateBudget|6470
2018|18296|27901|0|46197|46197|DateBudget|6471
2018|10891045|4859943|0|15750988|15750988|DateBudget|6472
2018|40169|31482|0|71651|71651|DateBudget|6473
2018|112456|169984|0|282440|282440|DateBudget|6474
2018|91591|0|0|91591|91591|DateBudget|6475
2018|19444|50720|0|70164|70164|DateBudget|6476
2018|111154|141080|0|252234|252234|DateBudget|6477
2018|46573|104468|0|151041|151041|DateBudget|6478
2018|104156|46096|0|150252|150252|DateBudget|6479
2018|16644|8747|0|25391|25391|DateBudget|6480
2018|35096|61912|0|97008|97008|DateBudget|6481
2018|27297|42151|0|69448|69448|DateBudget|6482
2018|45577|81011|0|126588|126588|DateBudget|6483
2018|111190|170570|0|281760|281760|DateBudget|6484
2018|1251907|222553|0|1474460|1474460|DateBudget|6485
2018|32109|30864|0|62973|62973|DateBudget|6486
2018|56880|132762|0|189642|189642|DateBudget|6487
2018|23673498|0|0|23673498|23673498|DateBudget|6488
2018|15754|22365|0|38119|38119|DateBudget|6489
2018|23534|49752|0|73286|73286|DateBudget|6490
2018|31466|121107|0|152573|152573|DateBudget|6491
2018|15428|22225|0|37653|37653|DateBudget|6492
2018|38591|3493|0|42084|42084|DateBudget|6493
2018|82569|161916|0|244485|244485|DateBudget|6494
2018|116903|99727|0|216630|216630|DateBudget|6495
2018|491279|424925|0|916204|916204|DateBudget|6496
2018|20832|23112|0|43944|43944|DateBudget|6497
2018|83586|59923|0|143509|143509|DateBudget|6498
2018|56201|163992|0|220193|220193|DateBudget|6499
2018|126056|351466|0|477522|477522|DateBudget|6500
2018|85589|97973|0|183562|183562|DateBudget|6501
2018|34997|37475|0|72472|72472|DateBudget|6502
2018|134052|169409|0|303461|303461|DateBudget|6503
2018|94453|92396|0|186849|186849|DateBudget|6504
2018|43730|72457|0|116187|116187|DateBudget|6505
2018|62655|112745|0|175400|175400|DateBudget|6506
2018|63541|10121|0|73662|73662|DateBudget|6507
2018|256839|0|0|256839|256839|DateBudget|6508
2018|31765|9859|0|41624|41624|DateBudget|6509
2018|143072|97245|0|240317|240317|DateBudget|6510
2018|91692|201494|0|293186|293186|DateBudget|6511
2018|13666|16599|0|30265|30265|DateBudget|6512
2018|40504|76771|0|117275|117275|DateBudget|6513
2018|18291|36656|0|54947|54947|DateBudget|6514
2018|8637|15990|0|24627|24627|DateBudget|6515
2018|85980|133722|0|219702|219702|DateBudget|6516
2018|50592|1942|0|52534|52534|DateBudget|6517
2018|361532|401410|0|762942|762942|DateBudget|6518
2018|50649|62885|0|113534|113534|DateBudget|6519
2018|36667|40293|0|76960|76960|DateBudget|6520
2018|1176939|1638763|0|2815702|2815702|DateBudget|6521
2018|28908|2299|0|31207|31207|DateBudget|6522
2018|113607|166924|0|280531|280531|DateBudget|6523
2018|79406|27224|0|106630|106630|DateBudget|6524
2018|75606|87806|0|163412|163412|DateBudget|6525
2018|28040|70227|0|98267|98267|DateBudget|6526
2018|394100|117814|0|511914|511914|DateBudget|6527
2018|106332|50047|0|156379|156379|DateBudget|6528
2018|46519|49393|0|95912|95912|DateBudget|6529
2018|12703762|9378420|0|22082182|22082182|DateBudget|6530
2018|711|11126|0|11837|11837|DateBudget|6531
2018|29273|93058|0|122331|122331|DateBudget|6532
2018|103992|116408|0|220400|220400|DateBudget|6533
2018|103605|66008|0|169613|169613|DateBudget|6534
2018|10200|19102|0|29302|29302|DateBudget|6535
2018|5894|125520|0|131414|131414|DateBudget|6536
2018|35383|63646|0|99029|99029|DateBudget|6537
2018|1430|146089|0|147519|147519|DateBudget|6538
2018|16160|24254|0|40414|40414|DateBudget|6539
2018|71400|49246|0|120646|120646|DateBudget|6540
2018|66987|103610|0|170597|170597|DateBudget|6541
2018|73919|28603|0|102522|102522|DateBudget|6542
2018|199224|198883|0|398107|398107|DateBudget|6543
2018|15225|54021|0|69246|69246|DateBudget|6544
2018|155271|181905|0|337176|337176|DateBudget|6545
2018|120437|147932|0|268369|268369|DateBudget|6546
2018|118587|8902|0|127489|127489|DateBudget|6547
2018|44518|60905|0|105423|105423|DateBudget|6548
2018|6721|17620|0|24341|24341|DateBudget|6549
2018|60799|45534|0|106333|106333|DateBudget|6550
2018|52008|5954|0|57962|57962|DateBudget|6551
2018|2052312|1369992|0|3422304|3422304|DateBudget|6552
2018|14581|60451|0|75032|75032|DateBudget|6553
2018|57052|168737|0|225789|225789|DateBudget|6554
2018|36582|217988|0|254570|254570|DateBudget|6555
