ID|FirstRegistrationAge|LastRegistrationAge|TotalNoRecords|AverageNoRecords
606|10|9|6|3
607|12|1|29|2.4166666666667
608|12|7|16|2.6666666666667
609|12|13|2|
610|12|10|5|1.6666666666667
611|9|7|5|1.6666666666667
612|5|1|40|8
613|7|7|6|6
614|5|6|9|
615|10|11|1|
616|9|10|4|
617|5|5|5|5
618|9|9|3|3
619|9|8|3|1.5
620|4|1|39|9.75
621|4|1|13|3.25
622|5|1|129|25.8
623|8|9|1|
624|4|1|58|14.5
625|12|3|2|0.2
626|9|4|5|0.83333333333333
627|12|13|4|
628|7|7|7|7
629|7|8|1|
630|5|5|11|11
631|5|5|17|17
632|4|5|3|
633|8|1|21|2.625
634|6|6|9|9
635|1|1|10|10
636|6|6|8|8
637|2|1|22|11
638|5|5|3|3
639|6|6|5|5
640|8|9|1|
641|4|1|39|9.75
642|4|1|69|17.25
643|5|6|15|
644|1|2|1|
645|2|2|12|12
646|9|1|96|10.666666666667
647|5|5|19|19
648|5|5|13|13
649|10|8|3|1
650|10|1|18|1.8
651|7|1|105|15
652|4|3|14|7
653|1|1|19|19
654|12|13|2|
655|1|1|13|13
656|9|10|1|
657|8|8|10|10
658|4|1|28|7
659|0|1|10|
660|12|9|7|1.75
661|9|1|34|3.7777777777778
662|9|10|1|
663|12|13|2|
664|10|11|1|
665|6|7|7|
666|0|1|11|
667|5|5|5|5
668|9|3|31|4.4285714285714
669|2|1|24|12
670|5|5|10|10
671|9|9|4|4
672|12|13|1|
673|6|1|60|10
674|8|8|9|9
675|8|6|24|8
676|5|6|7|
677|10|2|16|1.7777777777778
678|9|9|3|3
679|4|5|10|
680|2|2|9|9
681|3|4|7|
682|8|7|7|3.5
683|10|11|3|
684|8|8|13|13
685|6|7|5|
686|7|8|5|
687|1|2|12|
688|9|1|89|9.8888888888889
689|5|6|5|
690|5|6|7|
691|5|1|50|10
692|5|6|5|
693|9|1|44|4.8888888888889
694|9|10|1|
695|10|11|1|
696|4|5|8|
697|8|1|28|3.5
698|5|1|122|24.4
699|12|6|18|2.5714285714286
700|5|6|4|
701|7|7|6|6
702|2|1|90|45
703|9|8|5|2.5
704|8|7|12|6
705|8|1|30|3.75
706|12|13|1|
707|12|13|4|
708|10|1|29|2.9
709|12|5|21|2.625
710|9|10|3|
711|12|13|5|
712|6|6|3|3
713|6|5|19|9.5
714|5|6|6|
715|6|7|7|
716|4|4|10|10
717|10|3|14|1.75
718|0|1|6|
719|2|2|9|9
720|5|4|6|3
721|9|7|14|4.6666666666667
722|1|1|9|9
723|12|1|16|1.3333333333333
724|5|5|9|9
725|10|9|5|2.5
726|2|1|11|5.5
727|6|3|54|13.5
728|5|3|56|18.666666666667
729|0|1|2|
730|12|13|1|
731|9|8|5|2.5
732|12|11|3|1.5
733|6|7|3|
734|7|6|11|5.5
735|9|1|24|2.6666666666667
736|2|1|41|20.5
737|9|4|6|1
738|8|1|20|2.5
739|12|10|2|0.66666666666667
740|2|1|31|15.5
741|12|6|8|1.1428571428571
742|12|13|1|
743|8|3|6|1
744|12|8|11|2.2
745|4|5|9|
746|9|10|1|
747|12|13|4|
748|5|5|13|13
749|1|1|40|40
750|5|6|4|
751|9|10|1|
752|5|5|11|11
753|12|11|3|1.5
754|9|8|8|4
755|0|1|22|
756|5|1|80|16
757|10|9|11|5.5
758|12|13|2|
759|5|6|6|
760|9|9|2|2
761|6|6|4|4
762|6|6|4|4
763|5|5|4|4
764|7|7|6|6
765|12|13|1|
766|8|7|10|5
767|7|3|62|12.4
768|4|4|12|12
769|5|1|59|11.8
770|7|6|19|9.5
771|0|1|16|
772|5|5|9|9
773|9|9|4|4
774|10|11|1|
775|5|5|10|10
776|5|5|6|6
777|5|5|4|4
778|5|6|5|
779|12|13|1|
780|5|6|7|
781|8|9|10|
782|0|1|7|
783|2|2|11|11
784|2|1|15|7.5
785|7|7|8|8
786|7|7|5|5
